,id,title,release_date,vote_average
5146,19404,Dilwale Dulhania Le Jayenge,1995-10-20,8.522
5147,155,The Dark Knight,2008-07-16,8.519
5148,497,The Green Mile,1999-12-10,8.506
5149,496243,Parasite,2019-05-30,8.5
5150,680,Pulp Fiction,1994-09-10,8.488
5151,372058,Your Name.,2016-08-26,8.486
5152,122,The Lord of the Rings: The Return of the King,2003-12-17,8.483
5153,13,Forrest Gump,1994-06-23,8.469
5154,429,"The Good, the Bad and the Ugly",1966-12-22,8.5
5155,346,Seven Samurai,1954-04-26,8.5
5156,769,GoodFellas,1990-09-12,8.458
5157,12477,Grave of the Fireflies,1988-04-16,8.453
5158,157336,Interstellar,2014-11-05,8.4
5159,637,Life Is Beautiful,1997-12-20,8.448
5160,278,The Shawshank Redemption,1994-09-23,8.708
5161,238,The Godfather,1972-03-14,8.689
5162,240,The Godfather Part II,1974-12-20,8.6
5163,424,Schindler's List,1993-12-15,8.567
5164,389,12 Angry Men,1957-04-10,8.546
5165,129,Spirited Away,2001-07-20,8.5
5166,19404,Dilwale Dulhania Le Jayenge,1995-10-20,8.522
5167,155,The Dark Knight,2008-07-16,8.519
5168,497,The Green Mile,1999-12-10,8.506
5169,496243,Parasite,2019-05-30,8.5
5170,680,Pulp Fiction,1994-09-10,8.488
5171,372058,Your Name.,2016-08-26,8.486
5172,122,The Lord of the Rings: The Return of the King,2003-12-17,8.483
5173,13,Forrest Gump,1994-06-23,8.469
5174,429,"The Good, the Bad and the Ugly",1966-12-22,8.5
5175,346,Seven Samurai,1954-04-26,8.5
5176,769,GoodFellas,1990-09-12,8.458
5177,12477,Grave of the Fireflies,1988-04-16,8.453
5178,157336,Interstellar,2014-11-05,8.4
5179,637,Life Is Beautiful,1997-12-20,8.448
5180,278,The Shawshank Redemption,1994-09-23,8.708
5181,238,The Godfather,1972-03-14,8.689
5182,240,The Godfather Part II,1974-12-20,8.6
5183,424,Schindler's List,1993-12-15,8.567
5184,389,12 Angry Men,1957-04-10,8.546
5185,129,Spirited Away,2001-07-20,8.5
5186,19404,Dilwale Dulhania Le Jayenge,1995-10-20,8.522
5187,155,The Dark Knight,2008-07-16,8.519
5188,497,The Green Mile,1999-12-10,8.506
5189,496243,Parasite,2019-05-30,8.5
5190,680,Pulp Fiction,1994-09-10,8.488
5191,372058,Your Name.,2016-08-26,8.486
5192,122,The Lord of the Rings: The Return of the King,2003-12-17,8.483
5193,13,Forrest Gump,1994-06-23,8.469
5194,429,"The Good, the Bad and the Ugly",1966-12-22,8.5
5195,346,Seven Samurai,1954-04-26,8.5
5196,769,GoodFellas,1990-09-12,8.458
5197,12477,Grave of the Fireflies,1988-04-16,8.453
5198,157336,Interstellar,2014-11-05,8.4
