,id,title,release_date,vote_average
5567,155,The Dark Knight,2008-07-16,8.519
5568,497,The Green Mile,1999-12-10,8.506
5569,496243,Parasite,2019-05-30,8.5
5570,680,Pulp Fiction,1994-09-10,8.488
5571,372058,Your Name.,2016-08-26,8.486
5572,122,The Lord of the Rings: The Return of the King,2003-12-17,8.483
5573,13,Forrest Gump,1994-06-23,8.469
5574,429,"The Good, the Bad and the Ugly",1966-12-22,8.5
5575,346,Seven Samurai,1954-04-26,8.5
5576,769,GoodFellas,1990-09-12,8.458
5577,12477,Grave of the Fireflies,1988-04-16,8.453
5578,157336,Interstellar,2014-11-05,8.4
5579,637,Life Is Beautiful,1997-12-20,8.448
5580,278,The Shawshank Redemption,1994-09-23,8.708
5581,238,The Godfather,1972-03-14,8.689
5582,240,The Godfather Part II,1974-12-20,8.6
5583,424,Schindler's List,1993-12-15,8.567
5584,389,12 Angry Men,1957-04-10,8.546
5585,129,Spirited Away,2001-07-20,8.5
5586,19404,Dilwale Dulhania Le Jayenge,1995-10-20,8.522
5587,155,The Dark Knight,2008-07-16,8.519
5588,497,The Green Mile,1999-12-10,8.506
5589,496243,Parasite,2019-05-30,8.5
5590,680,Pulp Fiction,1994-09-10,8.488
5591,372058,Your Name.,2016-08-26,8.486
5592,122,The Lord of the Rings: The Return of the King,2003-12-17,8.483
5593,13,Forrest Gump,1994-06-23,8.469
5594,429,"The Good, the Bad and the Ugly",1966-12-22,8.5
5595,346,Seven Samurai,1954-04-26,8.5
5596,769,GoodFellas,1990-09-12,8.458
5597,12477,Grave of the Fireflies,1988-04-16,8.453
5598,157336,Interstellar,2014-11-05,8.4
5599,637,Life Is Beautiful,1997-12-20,8.448
5600,278,The Shawshank Redemption,1994-09-23,8.708
5601,238,The Godfather,1972-03-14,8.689
5602,240,The Godfather Part II,1974-12-20,8.6
5603,424,Schindler's List,1993-12-15,8.567
5604,389,12 Angry Men,1957-04-10,8.546
5605,129,Spirited Away,2001-07-20,8.5
5606,19404,Dilwale Dulhania Le Jayenge,1995-10-20,8.522
5607,155,The Dark Knight,2008-07-16,8.519
5608,497,The Green Mile,1999-12-10,8.506
5609,496243,Parasite,2019-05-30,8.5
5610,680,Pulp Fiction,1994-09-10,8.488
5611,372058,Your Name.,2016-08-26,8.486
5612,122,The Lord of the Rings: The Return of the King,2003-12-17,8.483
5613,13,Forrest Gump,1994-06-23,8.469
5614,429,"The Good, the Bad and the Ugly",1966-12-22,8.5
5615,346,Seven Samurai,1954-04-26,8.5
5616,769,GoodFellas,1990-09-12,8.458
5617,12477,Grave of the Fireflies,1988-04-16,8.453
5618,157336,Interstellar,2014-11-05,8.4
5619,637,Life Is Beautiful,1997-12-20,8.448
5620,278,The Shawshank Redemption,1994-09-23,8.708
5621,238,The Godfather,1972-03-14,8.689
5622,240,The Godfather Part II,1974-12-20,8.6
5623,424,Schindler's List,1993-12-15,8.567
5624,389,12 Angry Men,1957-04-10,8.546
5625,129,Spirited Away,2001-07-20,8.5
5626,19404,Dilwale Dulhania Le Jayenge,1995-10-20,8.522
5627,155,The Dark Knight,2008-07-16,8.519
5628,497,The Green Mile,1999-12-10,8.506
5629,496243,Parasite,2019-05-30,8.5
5630,680,Pulp Fiction,1994-09-10,8.488
5631,372058,Your Name.,2016-08-26,8.486
5632,122,The Lord of the Rings: The Return of the King,2003-12-17,8.483
5633,13,Forrest Gump,1994-06-23,8.469
5634,429,"The Good, the Bad and the Ugly",1966-12-22,8.5
5635,346,Seven Samurai,1954-04-26,8.5
5636,769,GoodFellas,1990-09-12,8.458
5637,12477,Grave of the Fireflies,1988-04-16,8.453
5638,157336,Interstellar,2014-11-05,8.4
5639,637,Life Is Beautiful,1997-12-20,8.448
5640,278,The Shawshank Redemption,1994-09-23,8.708
5641,238,The Godfather,1972-03-14,8.689
5642,240,The Godfather Part II,1974-12-20,8.6
5643,424,Schindler's List,1993-12-15,8.567
5644,389,12 Angry Men,1957-04-10,8.546
5645,129,Spirited Away,2001-07-20,8.5
5646,19404,Dilwale Dulhania Le Jayenge,1995-10-20,8.522
5647,155,The Dark Knight,2008-07-16,8.519
